 Tiempo(s),Angulo(rad),Velocidad(rad/s),Aceleracion(rad/s^2)
4.44,-12.1998514714,1.74532925199,-0.942693268825
4.45,-12.1823981789,1.74532925199,-4.71346634412
4.46,-12.1649448864,1.69684788388,-12.9283648296
4.47,-12.1474915939,1.55140377955,-25.8567296592
4.48,-12.1300383014,1.06659009844,-28.8194799326
4.49,-12.1300383014,0.872664625997,-21.0085928481
4.5,-12.1125850088,0.727220521664,-18.0458425746
4.51,-12.1125850088,0.387850944888,-6.59885288177
4.52,-12.1125850088,0.678739153553,-5.25214821202
4.53,-12.0951317163,0.581776417331,-28.9541503996
4.54,-12.0951317163,0,-42.690538031
4.55,-12.0951317163,-0.581776417331,-29.7621732014
4.56,-12.1125850088,-0.678739153553,-8.88825082034
4.57,-12.1125850088,-0.436332312999,-13.8710580984
4.58,-12.1125850088,-0.872664625997,-26.530081994
4.59,-12.1300383014,-1.308996939,-12.7936943626
4.6,-12.1474915939,-1.06659009844,-3.36676167437
4.61,-12.1474915939,-1.11507146655,-13.0630352966
4.62,-12.1649448864,-1.50292241144,-8.48423941942
4.63,-12.1823981789,-1.50292241144,14.0057285654
4.64,-12.1998514714,-1.06659009844,25.1833773243
4.65,-12.1998514714,-0.872664625997,24.6446954564
4.66,-12.217304764,-0.678739153553,29.7621732014
4.67,-12.217304764,-0.193925472444,26.934093395
4.68,-12.217304764,-0.048481368111,17.5071607067
4.69,-12.217304764,0.048481368111,16.5644674379
4.7,-12.217304764,0.193925472444,21.277933782
4.71,-12.217304764,0.630257785442,12.3896829617
4.72,-12.1998514714,0.630257785442,-12.2550124947
4.73,-12.1998514714,0.193925472444,-20.3352405132
4.74,-12.1998514714,0.048481368111,-11.8510010938
4.75,-12.1998514714,0,-4.57879587715
4.76,-12.1998514714,0,-0.942693268824
4.77,-12.1998514714,0,-0.134670466975
4.78,-12.1998514714,0,0
4.79,-12.1998514714,0,0
4.8,-12.1998514714,0,0
4.81,-12.1998514714,0,0
4.82,-12.1998514714,0,0
4.83,-12.1998514714,0,0
4.84,-12.1998514714,0,0
4.85,-12.1998514714,0,0
4.86,-12.1998514714,0,0
4.87,-12.1998514714,0,0
4.88,-12.1998514714,0,0
4.89,-12.1998514714,0,0
4.9,-12.1998514714,0,0
4.91,-12.1998514714,0,0
4.92,-12.1998514714,0,0
4.93,-12.1998514714,0,0
4.94,-12.1998514714,0,0
4.95,-12.1998514714,0,0
4.96,-12.1998514714,0,0
4.97,-12.1998514714,0,0
4.98,-12.1998514714,0,0
4.99,-12.1998514714,0,0
5,-12.1998514714,0,0
